2024-09-25 11:08:07.445 [main] INFO  org.example.Main - Start of Execution.
2024-09-25 13:37:56.187 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:37:56.188 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (5.0)^(0.0) = 1.0
2024-09-25 13:37:56.188 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:37:56.188 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:37:56.188 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (0.0)^(5.0) = 0.0
2024-09-25 13:37:56.188 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:37:56.188 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:37:56.188 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (0.0)^(0.0) = 1.0
2024-09-25 13:37:56.188 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:37:56.190 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:37:56.198 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 5! = 120
2024-09-25 13:37:56.198 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:37:56.198 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:37:56.198 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 0! = 1
2024-09-25 13:37:56.198 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:37:56.198 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:37:56.198 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 1! = 1
2024-09-25 13:37:56.198 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:37:56.199 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:37:56.202 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(2.718281828459045) = 1.0
2024-09-25 13:37:56.202 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-25 13:37:56.202 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:37:56.202 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(1.0) = 0.0
2024-09-25 13:37:56.202 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-25 13:37:56.205 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:37:56.205 [main] ERROR org.example.Main - Natural log is defined for positive real numbers only!
2024-09-25 13:37:56.206 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:37:56.207 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(16.0) = 4.0
2024-09-25 13:37:56.207 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:37:56.207 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:37:56.207 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(0.0) = 0.0
2024-09-25 13:37:56.207 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:37:56.208 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:37:56.208 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(25.0) = 5.0
2024-09-25 13:37:56.208 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:47:27.988 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:47:27.994 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (3.0)^(4.0) = 81.0
2024-09-25 13:47:27.994 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:47:27.995 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:47:27.995 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (7.0)^(0.0) = 1.0
2024-09-25 13:47:27.995 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:47:27.995 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:47:27.995 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (0.0)^(3.0) = 0.0
2024-09-25 13:47:27.995 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:47:27.995 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:47:27.995 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (0.0)^(0.0) = 1.0
2024-09-25 13:47:27.995 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:47:27.995 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:47:27.996 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (2.0)^(-2.0) = 0.25
2024-09-25 13:47:27.996 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:47:28.008 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:47:28.020 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 6! = 720
2024-09-25 13:47:28.020 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:47:28.020 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:47:28.020 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 0! = 1
2024-09-25 13:47:28.020 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:47:28.020 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:47:28.020 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 1! = 1
2024-09-25 13:47:28.020 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:47:28.020 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:47:28.020 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 10! = 3628800
2024-09-25 13:47:28.020 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:47:28.021 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:47:28.032 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(2.718281828459045) = 1.0
2024-09-25 13:47:28.033 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-25 13:47:28.033 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:47:28.033 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(1.0) = 0.0
2024-09-25 13:47:28.033 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-25 13:47:28.033 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:47:28.033 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(0.5) = -0.6931471805599453
2024-09-25 13:47:28.033 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-25 13:47:28.070 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:47:28.070 [main] ERROR org.example.Main - Natural log is defined for positive real numbers only!
2024-09-25 13:47:28.071 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:47:28.071 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(49.0) = 7.0
2024-09-25 13:47:28.071 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:47:28.072 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:47:28.072 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(0.0) = 0.0
2024-09-25 13:47:28.072 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:47:28.072 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:47:28.072 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(2.25) = 1.5
2024-09-25 13:47:28.072 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:47:28.072 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:47:28.072 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(1000000.0) = 1000.0
2024-09-25 13:47:28.072 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:49:47.625 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:49:47.633 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (3.0)^(4.0) = 81.0
2024-09-25 13:49:47.634 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:49:47.634 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:49:47.634 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (7.0)^(0.0) = 1.0
2024-09-25 13:49:47.634 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:49:47.634 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:49:47.634 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (0.0)^(3.0) = 0.0
2024-09-25 13:49:47.634 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:49:47.634 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:49:47.634 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (0.0)^(0.0) = 1.0
2024-09-25 13:49:47.634 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:49:47.635 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:49:47.635 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (2.0)^(-2.0) = 0.25
2024-09-25 13:49:47.635 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:49:47.636 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:49:47.642 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 6! = 720
2024-09-25 13:49:47.642 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:49:47.642 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:49:47.642 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 0! = 1
2024-09-25 13:49:47.642 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:49:47.642 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:49:47.642 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 1! = 1
2024-09-25 13:49:47.642 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:49:47.642 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:49:47.642 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 10! = 3628800
2024-09-25 13:49:47.642 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:49:47.643 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:49:47.645 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(2.718281828459045) = 1.0
2024-09-25 13:49:47.645 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-25 13:49:47.645 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:49:47.645 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(1.0) = 0.0
2024-09-25 13:49:47.645 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-25 13:49:47.646 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:49:47.646 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(0.5) = -0.6931471805599453
2024-09-25 13:49:47.646 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-25 13:49:47.647 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:49:47.648 [main] ERROR org.example.Main - Natural log is defined for positive real numbers only!
2024-09-25 13:49:47.648 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:49:47.649 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(49.0) = 7.0
2024-09-25 13:49:47.649 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:49:47.649 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:49:47.649 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(0.0) = 0.0
2024-09-25 13:49:47.649 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:49:47.649 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:49:47.649 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(2.25) = 1.5
2024-09-25 13:49:47.649 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:49:47.649 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:49:47.649 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(1000000.0) = 1000.0
2024-09-25 13:49:47.649 [main] INFO  org.example.Main - END OP: Square Root
